company;class;symbol;economatica_classification;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
Even;ON;EVEN3;real_state;17,1;1.839.425;5.570.520;5.570.520;10,4;206.268
Excelsior;PN;BAUH4;food_and_beverages;16;91.838;148.894;148.894;92,94;5.222
Eztec;ON;EZTC3;real_state;29,8;4.027.600;4.525.852;4.525.852;31,87;227.000
Fer Heringer;ON;FHER3;chemistry;6,6;-205.057;1.843.248;1.843.248;5,04;53.857
Ferbasa;PN;FESA4;steel_industry;8,1;1.720.561;2.891.267;2.891.267;25,8;85.097
Finansinos;ON;FNCN3;finance_and_securities;-;11.528;12.082;12.082;-;913
Fleury;ON;FLRY3;other;11,2;1.750.850;5.523.810;5.523.810;26,97;317.166
Flex S/A;ON;FLEX3;other;-;34.877;459.494;459.494;-;3.248
Focus ON;ON;POWE3;electrical_energy;15,1;208.949;762.192;762.192;14;89.655
Fras-Le;ON;FRAS3;vehicles;19,5;886.566;2.759.114;2.759.114;12,2;214.566
Gafisa;ON;GFSA3;real_state;-27;1.509.624;3.445.750;3.445.750;4,8;300.334
Gama Part;ON;OPGM3B;other;-;1.158;1.277;1.277;-;1.936
Generalshopp;ON;GSHP3;other;-45;-585.617;1.729.238;1.729.238;49;1.875
Ger Paranap;PN;GEPA4;electrical_energy;4,4;1.771.912;4.306.518;4.306.518;38;94.433
Gerdau;PN;GGBR4;steel_industry;6,8;30.860.271;63.123.009;63.123.009;26,12;1.701.161
Gerdau Met;PN;GOAU4;steel_industry;5,4;11.698.670;64.764.475;64.764.475;11,72;1.080.985
Gol;PN;GOLL4;transport_and_services;-28,5;-14.759.201;12.820.829;12.820.829;22,51;355.485
GPC Part;ON;GPCP3;other;5,2;275.031;847.784;847.784;21,3;31.177
Grazziotin;PN;CGRA4;retail;8;626.294;820.371;820.371;34,31;19.827
Grendene;ON;GRND3;textile;35,8;3.670.678;4.026.276;4.026.276;7,26;901.503
Grupo Mateus;ON;GMAT3;retail;24,5;2.488.203;5.760.520;5.760.520;8,32;2.202.976
Grupo Natura;ON;NTCO3;retail;34,8;24.600.515;64.320.627;64.320.627;47,86;1.374.711
Grupo Soma;ON;SOMA3;retail;-105,7;1.521.360;2.378.478;2.378.478;13,85;473.141
Guararapes;ON;GUAR3;textile;-71,6;4.855.725;13.117.891;13.117.891;12,84;499.197
Habitasul;PNA;HBTS5;other;88,9;294.595;1.312.025;1.312.025;-;9.134
Haga S/A;PN;HAGA4;steel_industry;-;-76.368;59.332;59.332;1,87;11.900
Hapvida;ON;HAPV3;other;36,8;7.840.690;13.152.761;13.152.761;15,87;3.714.927
Hbr Realty;ON;HBRE3;real_state;57,1;1.114.226;2.397.051;2.397.051;17,4;103.189
Helbor;ON;HBOR3;real_state;64,8;1.246.961;4.493.227;4.493.227;8,66;132.694
Hercules;PN;HETA4;steel_industry;448,7;-382.643;10.711;10.711;9,32;510
Hidrovias;ON;HBSA3;transport_and_services;29,1;1.455.112;5.813.448;5.813.448;6,5;760.382
Hoteis Othon;PN;HOOT4;other;-0,5;-419.584;466.934;466.934;2,58;18.372
Hypera;ON;HYPE3;other;19,9;9.295.558;17.071.317;17.071.317;33,34;633.311
IGB S/A;ON;IGBR3;eletronics;-;-923.772;191.069;191.069;15,7;12.505
Igua SA;ON;IGSN3;other;-;825.555;2.949.048;2.949.048;-;207.018
Iguatemi;ON;IGTA3;other;21,9;3.102.777;6.294.659;6.294.659;32,65;176.134
Ihpardini;ON;PARD3;other;14,3;710.265;1.950.453;1.950.453;21,03;128.380
Imc S/A;ON;MEAL3;retail;-2,3;1.254.132;2.684.262;2.684.262;3,26;285.443
Ind Cataguas;ON;CATA3;textile;-;127.391;233.220;233.220;-;145
Inds Romi;ON;ROMI3;industry_machines;15,9;813.003;1.746.708;1.746.708;28,21;73.334
Inepar;PN;INEP4;other;-22,4;-2.170.940;1.387.075;1.387.075;25,31;8.204
Intelbras;ON;INTB3;eletronics;24,1;829.235;2.055.346;2.055.346;18,87;327.611
Inter SA;ON;INNT3;real_state;-;78.435;785.940;785.940;-;86.885
Intermedica;ON;GNDI3;other;40,3;7.105.295;15.860.916;15.860.916;88,29;609.171
Invepar;ON;IVPR3B;transport_and_services;-;-322.178;21.290.666;21.290.666;-;429.171
Invest Bemge;ON;FIGE3;other;-;231.086;231.619;231.619;-;2.364
Iochp-Maxion;ON;MYPK3;vehicles;28;3.839.001;13.010.400;13.010.400;12,51;152.365
Irani;ON;RANI3;paper_and_cellulose;7,6;786.154;1.814.117;1.814.117;6,3;254.344
Irbbrasil Re;ON;IRBR3;finance_and_securities;-;4.256.130;22.720.962;22.720.962;6,08;1.255.287
Itausa;PN;ITSA4;other;11;57.343.000;72.600.000;72.600.000;10,08;8.410.815
ItauUnibanco;PN;ITUB4;finance_and_securities;-;136.593.000;2.112.586.000;2.112.586.000;26,08;9.762.457
J B Duarte;ON;JBDU3;food_and_beverages;-;63.719;190.691;190.691;2,32;5.019
Jallesmachad;ON;JALL3;other;6,2;555.769;2.811.810;2.811.810;8,45;289.935
JBS;ON;JBSS3;food_and_beverages;5,7;39.445.979;166.492.760;166.492.760;25,98;2.623.374
Jereissati;ON;JPSA3;other;16,5;1.602.909;6.406.310;6.406.310;22,75;87.889
JHSF Part;ON;JHSF3;real_state;6,1;3.748.746;7.282.039;7.282.039;6,68;682.011
Josapar;ON;JOPA3;food_and_beverages;7,8;540.231;2.099.743;2.099.743;34,55;10.582
JSL;ON;JSLG3;transport_and_services;5,2;1.069.805;4.186.746;4.186.746;9,58;278.288
Karsten;PN;CTKA4;textile;6,8;-200.883;506.923;506.923;18;6.205
Kepler Weber;ON;KEPL3;steel_industry;8,5;517.651;948.778;948.778;45,28;26.312
Klabin S/A;UNT N2;KLBN11;paper_and_cellulose;9,6;3.810.305;35.270.261;35.270.261;29,78;5.485.248
Lavvi;ON;LAVV3;real_state;11,8;1.188.783;1.616.146;1.616.146;7,39;214.629
Le Lis Blanc;ON;LLIS3;textile;-2,4;620.881;2.494.651;2.494.651;4,28;68.851
Lifemed;ON;LMED3;other;-;120.046;311.403;311.403;-;2.576
Light S/A;ON;LIGT3;electrical_energy;12,1;6.809.963;25.577.226;25.577.226;18,28;372.555
Linx;ON;LINX3;software_and_data;50,3;1.684.041;2.696.563;2.696.563;38,52;175.690
Litel;ON;LTEL3B;mining;-;2.818.010;3.345.594;3.345.594;-;215.495
Litela;ON;LTLA3B;mining;-;19.997.406;21.340.813;21.340.813;-;196.713
Localiza;ON;RENT3;other;20,9;6.052.659;20.441.134;20.441.134;59,86;751.671
Locamerica;ON;LCAM3;other;11,9;4.186.288;14.466.226;14.466.226;24,47;506.763
Locaweb;ON;LWSA3;software_and_data;229,1;657.061;1.217.940;1.217.940;29,81;585.395
Log Com Prop;ON;LOGG3;real_state;14,5;3.060.121;4.212.183;4.212.183;32,2;102.143
Log-In;ON;LOGN3;transport_and_services;12,2;217.051;2.092.589;2.092.589;15,66;104.270
Lojas Americ;PN;LAME4;retail;27,2;12.512.549;40.219.976;40.219.976;25,98;1.882.630
Lojas Marisa;ON;AMAR3;retail;-23,9;1.025.061;3.008.529;3.008.529;5,3;261.498
Lojas Renner;ON;LREN3;retail;18,4;5.501.316;14.642.583;14.642.583;37,24;793.011
Lopes Brasil;ON;LPSB3;other;10,6;165.557;376.268;376.268;3,74;147.555
Lupatech;ON;LUPA3;steel_industry;-5,6;40.642;503.235;503.235;2,15;26.263
M.Diasbranco;ON;MDIA3;food_and_beverages;13;6.502.653;9.677.291;9.677.291;29;338.002
Maestroloc;ON;MSRO3;other;-;50.606;226.235;226.235;-;26.010
Magaz Luiza;ON;MGLU3;retail;151,3;7.376.605;21.814.811;21.814.811;24,06;6.483.202
Mangels Indl;PN;MGEL4;steel_industry;14,8;-481.885;415.351;415.351;9;5.783
Marcopolo;PN;POMO4;vehicles;12,9;2.552.217;5.860.911;5.860.911;2,58;939.366
Marfrig;ON;MRFG3;food_and_beverages;4,1;964.884;38.294.292;38.294.292;14,25;696.700
Melhor SP;ON;MSPA3;paper_and_cellulose;-;836.900;1.419.616;1.419.616;-;6.399
Meliuz;ON;CASH3;software_and_data;138,1;40.319;66.530;66.530;27,09;126.433
Melnick;ON;MELK3;real_state;14,4;1.158.709;1.978.900;1.978.900;6,21;207.969
Menezes Cort;ON;MNZC3B;transport_and_services;-;114.417;121.998;121.998;-;526
Merc Brasil;PN;BMEB4;finance_and_securities;-;987.968;10.718.363;10.718.363;15,95;52.416
Merc Financ;PN;MERC4;finance_and_securities;-;247.665;301.621;301.621;11,01;18.010
Merc Invest;PN;BMIN4;finance_and_securities;-;125.130;206.557;206.557;26,5;4.825
Metal Iguacu;PN;MTIG4;steel_industry;2.042,50;27.819;140.160;140.160;53,5;241
Metal Leve;ON;LEVE3;vehicles;14,5;1.337.735;2.723.062;2.723.062;17,93;128.309
Metalfrio;ON;FRIO3;industry_machines;12;-74.376;1.701.415;1.701.415;73,5;4.107
Metisa;PN;MTSA4;steel_industry;3,1;279.084;385.412;385.412;29;8.884
