company;class;symbol;economatica_classification;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
Sanepar;UNT N2;SAPR11;other;4,6;6.943.163;13.190.858;13.190.858;20,12;1.511.206
Sansuy;ON;SNSY3;other;-6,6;-1.331.343;382.562;382.562;18,25;7.716
Santander BR;UNT;SANB11;finance_and_securities;-;78.968.183;1.002.388.978;1.002.388.978;38,25;7.460.873
Santanense;ON;CTSA3;textile;22,5;285.461;636.391;636.391;2,61;111.299
Santos Brp;ON;STBP3;transport_and_services;33,7;2.084.206;4.228.912;4.228.912;5,87;860.794
Sao Carlos;ON;SCAR3;other;13,8;1.550.418;3.195.515;3.195.515;34;56.550
Sao Martinho;ON;SMTO3;other;8,9;4.037.269;12.280.825;12.280.825;31,69;346.375
Saraiva Livr;PN;SLED4;other;-2,1;-345.644;441.895;441.895;0,59;63.092
Schulz;PN;SHUL4;vehicles;12,6;680.080;1.677.900;1.677.900;13,25;89.252
Seg Al Bahia;PN;CSAB4;finance_and_securities;-;198.916;401.983;401.983;51,7;7.680
Sequoia Log;ON;SEQL3;transport_and_services;36,3;411.325;1.375.878;1.375.878;30,94;127.150
Ser Educa;ON;SEER3;other;5,6;1.331.620;2.929.329;2.929.329;12,54;128.722
Sid Nacional;ON;CSNA3;steel_industry;8,6;9.913.451;63.002.149;63.002.149;34,66;1.380.115
Simpar;ON;SIMH3;transport_and_services;12,9;1.787.714;22.774.196;22.774.196;38,34;206.032
Sinqia;ON;SQIA3;software_and_data;67,2;433.556;611.378;611.378;22,23;70.415
SLC Agricola;ON;SLCE3;agriculture;14,3;2.717.772;7.830.049;7.830.049;39,76;187.324
Smart Fit;ON;SMFT3;other;-;2.063.108;7.946.307;7.946.307;-;22.283
Smiles;ON;SMLS3;other;15,7;1.312.822;3.342.069;3.342.069;22,03;124.159
Sondotecnica;PNA;SOND5;other;3,7;74.955;99.757;99.757;45,01;2.431
Springs;ON;SGPS3;textile;66,2;1.138.028;3.138.916;3.138.916;6,48;50.000
SPturis;ON;AHEB3;other;-23,1;12.171;257.288;257.288;-;8.542
Stara;ON;STTR3;industry_machines;-;624.326;1.072.134;1.072.134;-;297.498
Statkraft;ON;STKF3;electrical_energy;-;1.369.149;2.398.951;2.398.951;-;277.383
Sudeste;ON;OPSE3B;other;-;92;92;92;-;126.178
Sul 116 Part;ON;OPTS3B;telecom;-;7.819;11.382;11.382;-;83.596.903
Sul America;UNT N2;SULA11;finance_and_securities;-1,4;8.102.028;27.869.121;27.869.121;34,78;1.142.132
Suzano Hold;PNA;NEMO5;other;-;416.878;105.506.118;105.506.118;-;172.927
Suzano S.A.;ON;SUZB3;paper_and_cellulose;10,8;7.231.822;101.800.748;101.800.748;74,39;1.349.222
Taesa;UNT N2;TAEE11;electrical_energy;7,7;5.768.370;13.866.966;13.866.966;30,81;1.033.497
Taurus Armas;PN;TASA4;steel_industry;8,8;-256.159;1.295.713;1.295.713;19,52;96.129
Technos;ON;TECN3;other;-11,4;313.466;636.539;636.539;1,55;77.298
Tecnisa;ON;TCSA3;real_state;-6,7;806.412;1.689.063;1.689.063;7,72;73.619
Tecnosolo;PN;TCNO4;other;-;370;234.370;234.370;1,32;6.620
Tegma;ON;TGMA3;transport_and_services;17,4;619.947;1.031.401;1.031.401;22;65.938
Teka;PN;TEKA4;textile;-57;-1.656.933;978.796;978.796;-;503
Tekno;PN;TKNO4;steel_industry;4,7;188.039;232.915;232.915;-;2.948
Telebras;PN;TELB4;telecom;-;1.591.547;4.230.853;4.230.853;27,5;67.865
Telef Brasil;ON;VIVT3;telecom;4,6;69.556.764;108.738.378;108.738.378;44,52;1.688.174
Tenda;ON;TEND3;real_state;11,9;1.479.063;4.109.366;4.109.366;26,67;98.506
Terra Santa;ON;TESA3;other;5,2;728.543;2.769.242;2.769.242;30;21.657
Tex Renaux;PN;TXRX4;textile;-;-304.703;190.301;190.301;9,2;4.259
Tim;ON;TIMS3;telecom;3,5;23.182.745;41.654.417;41.654.417;13,17;2.420.407
Time For Fun;ON;SHOW3;other;-7,8;254.211;620.861;620.861;3,52;67.312
Totvs;ON;TOTS3;software_and_data;28,8;2.604.166;5.146.406;5.146.406;31,85;567.760
Track Field;PN;TFCO4;retail;113,1;27.261;309.554;309.554;13,2;159.718
Tran Paulist;PN;TRPL4;electrical_energy;4,7;13.754.283;24.592.358;24.592.358;25,82;658.883
Trevisa;PN;LUXM4;other;14,6;96.830;155.801;155.801;67,99;5.196
Trisul;ON;TRIS3;real_state;13,5;1.146.025;1.939.546;1.939.546;9,96;186.017
Triunfo Part;ON;TPIS3;transport_and_services;8,4;648.781;3.549.148;3.549.148;1,81;173.507
Tupy;ON;TUPY3;vehicles;11,9;2.536.902;6.401.913;6.401.913;20,74;144.038
Ultrapar;ON;UGPA3;oil_and_gas;12,3;9.533.746;36.250.162;36.250.162;19,68;1.090.266
Unicasa;ON;UCAS3;other;17,4;153.609;218.378;218.378;4,4;66.086
Unipar;PNB;UNIP6;chemistry;9,4;1.527.274;4.335.046;4.335.046;55,1;94.384
Uptick;ON;UPKP3B;electrical_energy;-;104.487;104.513;104.513;-;52.437
Usiminas;PNA;USIM5;steel_industry;6,1;14.867.466;29.952.137;29.952.137;16,41;1.230.533
Vale;ON;VALE3;mining;7,2;185.784.979;478.129.515;478.129.515;95,71;5.129.911
Valid;ON;VLID3;other;56,7;1.171.681;3.096.698;3.096.698;7,8;71.225
Vamos;ON;VAMO3;other;15,3;506.238;4.225.479;4.225.479;34,09;225.851
Viavarejo;ON;VVAR3;retail;11,8;5.632.000;30.062.000;30.062.000;12,63;1.596.717
Vivara S.A.;ON;VIVA3;retail;47;1.115.775;1.910.659;1.910.659;24,48;236.198
Viver;ON;VIVR3;real_state;-3,3;-182.109;358.187;358.187;1,06;97.029
Vulcabras;ON;VULC3;textile;51;1.072.270;1.651.132;1.651.132;7,79;245.756
Weg;ON;WEGE3;industry_machines;50,3;11.563.165;19.927.896;19.927.896;79,5;2.097.740
Westwing;ON;WEST3;retail;124;8.918;107.699;107.699;12,09;109.477
Wetzel S/A;PN;MWET4;vehicles;-39,9;-224.643;182.239;182.239;6,76;1.734
Whirlpool;PN;WHRL4;eletronics;12,1;2.118.005;6.826.307;6.826.307;7,66;1.502.785
Wiz S.A;ON;WIZS3;finance_and_securities;-;352.122;816.611;816.611;6,31;159.907
Wlm Ind Com;PN;WLMM4;retail;13,3;458.461;578.365;578.365;29;36.415
Yduqs Part;ON;YDUQ3;other;15,7;3.321.200;9.411.001;9.411.001;31,16;301.197
