company;class;symbol;economatica_classification;metric_name;31/03/2016;30/06/2016;30/09/2016;31/12/2016;31/03/2017;30/06/2017;30/09/2017;31/12/2017;31/03/2018;30/06/2018;30/09/2018;31/12/2018;31/03/2019;30/06/2019;30/09/2019;31/12/2019;31/03/2020;30/06/2020;30/09/2020
Aco Altona;PN;EALT4;steel_industry;net_revenue;37863;69114;89851;117687;30436;76830;121258;168407;57896;115516;183809;246961;87896;166826;232299;299194;59676;129072;188787
Aco Altona;PN;EALT4;steel_industry;cogs;27659;53880;74526;100019;24962;60604;94254;137902;44160;87776;140275;196304;70306;131942;181123;234512;46259;95476;140137
Aco Altona;PN;EALT4;steel_industry;investment;601;1008;1366;1482;1263;939;1755;1527;1935;776;1393;2106;5054;2304;2916;3150;2458;2821;13329
Aco Altona;PN;EALT4;steel_industry;ebitda;22414;16935;6210;12790;10088;19670;29770;57679;63190;0;0;30090;0;35327;39280;37245;33753;37032;36812
Aco Altona;PN;EALT4;steel_industry;net_cash_flow;6910;2964;3847;5570;1260;4708;2719;20228;769;0;46389;90821;7029;22047;33354;15517;4529;4867;24442
Aco Altona;PN;EALT4;steel_industry;operational_expenses;7149;17288;22500;14622;5058;11315;17054;17605;7626;16720;27705;30497;8446;18996;26834;37608;8052;18479;25049
Aco Altona;PN;EALT4;steel_industry;financial_expenses;2853;4527;6462;8519;1847;3579;5484;8340;1901;5323;8002;11824;3685;6585;9630;12681;3974;9076;12947
Aco Altona;PN;EALT4;steel_industry;financial_revenue;524;1275;1912;2483;1280;1963;2327;2994;944;2081;3740;3962;987;1957;3077;5059;1153;1945;13278
Aco Altona;PN;EALT4;steel_industry;short_term_loans;22226;24315;23591;29472;29281;28241;27650;49858;49391;50684;58304;55954;51193;47421;51363;60622;93474;87253;73249
Aco Altona;PN;EALT4;steel_industry;long_term_loans;18611;16109;17581;12686;9413;5409;3654;4592;3803;17909;19630;26254;25320;23645;30748;27026;27231;22924;44096
AES Tiete E;UNT N2;TIET11;electrical_energy;net_revenue;383152;795213;1197637;1561348;403166;802557;1261980;1728125;430111;892008;1456852;1923533;501010;996699;1521714;2049723;494396;969603;1478977
AES Tiete E;UNT N2;TIET11;electrical_energy;cogs;246845;455180;679599;916972;181288;408908;763441;1096521;235873;492462;918323;1188396;310722;660145;997718;1326653;259450;537317;814835
AES Tiete E;UNT N2;TIET11;electrical_energy;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45218
AES Tiete E;UNT N2;TIET11;electrical_energy;ebitda;0;0;0;805363;891496;865386;812520;842158;836901;892555;940238;1011184;1017188;972934;1019349;1036251;1084642;1135971;1193783
AES Tiete E;UNT N2;TIET11;electrical_energy;net_cash_flow;13088;173362;232198;136972;153997;127287;209557;225818;224569;115421;212121;84828;184338;82581;137066;179083;159902;208341;222362
AES Tiete E;UNT N2;TIET11;electrical_energy;operational_expenses;0;0;0;0;0;0;0;996;1277;2061;3045;4029;983;1967;5987;0;0;0;91
AES Tiete E;UNT N2;TIET11;electrical_energy;financial_expenses;47464;117135;171586;223269;51228;101848;182754;295271;121490;222170;340504;421919;108722;230639;322030;439805;133052;184555;380741
AES Tiete E;UNT N2;TIET11;electrical_energy;financial_revenue;24048;45931;70685;87469;19500;39006;69568;91435;25802;57299;87698;106825;18380;40838;67226;84734;14521;29565;41039
AES Tiete E;UNT N2;TIET11;electrical_energy;short_term_loans;183461;326176;352737;255776;376773;918461;1036192;1014376;113699;108887;139464;120927;650038;78112;70523;461804;442811;957923;965885
AES Tiete E;UNT N2;TIET11;electrical_energy;long_term_loans;1239109;1080387;1085794;1190794;1098185;1494596;2567757;2575245;3812632;3999013;4004921;4007001;3510068;4144342;4154241;3793141;3816623;3780244;3800253
Afluente T;ON;AFLT3;electrical_energy;net_revenue;6398;13365;21551;31353;7863;12336;17864;23646;5793;13125;20750;33684;8847;17448;28050;38621;8952;17283;26922
Afluente T;ON;AFLT3;electrical_energy;cogs;3307;6670;9817;14175;2240;4400;7106;10425;2328;5434;7433;10028;2017;4439;6342;13006;2723;5079;6618
Afluente T;ON;AFLT3;electrical_energy;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afluente T;ON;AFLT3;electrical_energy;ebitda;10040;9022;12789;16399;19016;17447;15392;12666;10374;12298;14957;22903;26116;0;0;24961;0;0;0
Afluente T;ON;AFLT3;electrical_energy;net_cash_flow;4512;6899;18362;19150;367;10693;4960;4579;6462;4772;6749;6387;7286;0;0;0;6207;6454;7239
Afluente T;ON;AFLT3;electrical_energy;operational_expenses;202;268;477;779;117;461;508;555;254;586;776;753;405;593;746;654;323;1194;2091
Afluente T;ON;AFLT3;electrical_energy;financial_expenses;139;238;382;616;107;209;292;351;47;107;173;230;53;132;181;192;57;101;145
Afluente T;ON;AFLT3;electrical_energy;financial_revenue;1386;2776;4182;5454;1318;1895;2333;2629;336;702;1145;1632;548;1165;1898;2585;588;1029;1305
Afluente T;ON;AFLT3;electrical_energy;short_term_loans;660;709;735;735;735;733;733;733;733;732;731;731;731;730;642;511;379;247;203
Afluente T;ON;AFLT3;electrical_energy;long_term_loans;3244;3063;2881;2699;2516;2335;2154;1972;1790;1608;1427;1245;1062;881;787;737;686;636;586
Alfa Consorc;PNE;BRGE11;other;net_revenue;7670;15892;23953;30556;5314;11896;18435;25294;6946;12653;19235;26000;6561;13880;21025;28762;7068;22257;22050
Alfa Consorc;PNE;BRGE11;other;cogs;24871;46123;67738;89251;22137;44540;67829;91210;22075;42985;64290;86636;21543;44732;68356;93286;25755;51678;76041
Alfa Consorc;PNE;BRGE11;other;investment;884463;891416;908903;918960;926533;932430;935681;945308;957866;957948;967127;982901;994457;1001497;1017288;1025858;1037114;1045773;1086788
Alfa Consorc;PNE;BRGE11;other;ebitda;16742;18436;15566;9055;160;4602;15979;5422;6113;10915;20218;16786;18639;14605;15096;14651;901;98835;40966
Alfa Consorc;PNE;BRGE11;other;net_cash_flow;11371;43680;44144;66925;49273;16649;31454;36343;27937;8260;11163;23016;27187;4339;16569;50812;213266;306403;278122
Alfa Consorc;PNE;BRGE11;other;operational_expenses;18457;33156;51318;66915;9149;21838;31795;59563;18883;35646;52763;76051;20598;34006;53376;77811;10527;80984;86344
Alfa Consorc;PNE;BRGE11;other;financial_expenses;41311;80260;122290;167615;41637;72506;106373;128744;23955;40200;60800;90036;22599;44504;60883;85934;59257;112163;121560
Alfa Consorc;PNE;BRGE11;other;financial_revenue;66394;132078;202541;282292;68271;126044;185638;243903;47574;92026;145486;190777;41872;81380;122014;166088;88298;270480;156208
Alfa Consorc;PNE;BRGE11;other;short_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alfa Consorc;PNE;BRGE11;other;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alfa Holding;ON;RPAD3;other;net_revenue;57;110;162;239;77;153;233;308;79;159;239;324;81;157;229;280;71;97;97
Alfa Holding;ON;RPAD3;other;cogs;8;5;8;12;4;8;12;15;4;8;12;16;4;8;11;14;4;5;5
Alfa Holding;ON;RPAD3;other;investment;854608;857137;873933;880815;887246;898935;909627;900671;912740;927374;938407;950578;961745;968439;983158;994101;1014755;1028036;1039848
Alfa Holding;ON;RPAD3;other;ebitda;53516;51968;53373;50394;45337;43851;35816;40469;44321;44319;49796;42065;41770;38798;40171;40457;41613;44533;40963
Alfa Holding;ON;RPAD3;other;net_cash_flow;3479;3984;337;19;8375;1187;586;14357;378;396;278;503;445;701;756;297;10579;1301;866
Alfa Holding;ON;RPAD3;other;operational_expenses;12225;22982;37313;50167;7144;16399;22668;40176;10994;20243;31989;41757;10697;16978;30104;40191;11863;21111;30736
Alfa Holding;ON;RPAD3;other;financial_expenses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alfa Holding;ON;RPAD3;other;financial_revenue;158;220;270;341;124;321;482;152;299;531;759;947;169;273;365;423;63;129;167
Alfa Holding;ON;RPAD3;other;short_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alfa Holding;ON;RPAD3;other;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alianscsonae;ON;ALSO3;other;net_revenue;83543;165866;249228;342294;85079;173189;260091;354856;89124;177738;269323;374112;94416;191981;461678;743186;229289;401640;572793
Alianscsonae;ON;ALSO3;other;cogs;19810;40449;63053;84362;22006;43042;63150;83116;18327;38126;57870;78411;19510;39448;123307;200075;73481;129778;196703
Alianscsonae;ON;ALSO3;other;investment;4399941;4407349;4415764;4535960;4538783;4631004;4635946;4687242;4694704;4789794;4799969;5018747;5021744;5194219;8769851;8851493;8699976;8645841;8626156
Alianscsonae;ON;ALSO3;other;ebitda;344065;276312;274144;389090;384529;444418;448710;384679;392113;405779;413814;562234;566473;478012;419059;372972;494331;536868;649646
Alianscsonae;ON;ALSO3;other;net_cash_flow;60098;41746;33774;49537;27427;35099;43719;44552;23713;39977;34018;36413;33469;96731;224074;50588;307262;19495;56492
Alianscsonae;ON;ALSO3;other;operational_expenses;408;26402;21063;128509;4240;77157;70180;110645;4441;88966;85072;264593;4222;8009;256060;289063;6357;37660;81597
Alianscsonae;ON;ALSO3;other;financial_expenses;0;52876;76948;99230;0;39235;60233;90621;0;38772;57412;74007;0;36176;139229;207886;39930;66477;98707
Alianscsonae;ON;ALSO3;other;financial_revenue;0;19020;27830;36084;0;12313;19729;27356;0;11020;16287;20417;0;13905;37365;58308;18876;30432;39042
Alianscsonae;ON;ALSO3;other;short_term_loans;122363;132062;136635;144427;221575;227982;228313;247578;235537;244464;240891;197999;31092;40622;0;0;0;0;0
Alianscsonae;ON;ALSO3;other;long_term_loans;702473;691380;681496;669984;521880;507044;748557;726799;558706;543313;528439;567181;762036;756812;0;0;0;0;0
Aliperti;PN;APTI4;steel_industry;net_revenue;4868;16948;25026;33710;5320;17000;28640;33954;5036;12079;14700;32007;9986;27289;38369;44533;1179;8646;13363
Aliperti;PN;APTI4;steel_industry;cogs;3926;11316;15859;18592;3187;10278;17320;19165;2569;5163;5824;15593;5246;13721;23551;27387;130;2489;4985
Aliperti;PN;APTI4;steel_industry;investment;2504;2504;3041;2629;2629;5129;5132;5088;5022;5006;5000;4993;4997;4992;4988;2792;1594;1734;1864
Aliperti;PN;APTI4;steel_industry;ebitda;3490;3383;5993;6530;5086;1912;9680;15569;14313;13803;7434;782;4167;8134;8160;4485;8480;13006;69777
Aliperti;PN;APTI4;steel_industry;net_cash_flow;5569;4354;6990;1864;2763;101;6167;14476;4034;7334;13999;4610;3354;6356;11653;4921;5041;1180;31391
Aliperti;PN;APTI4;steel_industry;operational_expenses;5865;14321;19123;24595;5427;10610;24221;33109;4522;9062;13640;18334;4383;10283;14111;26163;3565;9235;68843
Aliperti;PN;APTI4;steel_industry;financial_expenses;1394;2796;4518;6049;1516;3487;5768;8345;2080;5601;8465;10717;2206;4609;7307;9489;2701;4544;8411
Aliperti;PN;APTI4;steel_industry;financial_revenue;933;1470;2051;3290;649;907;1623;2055;1008;1202;2161;3237;727;1254;1748;2871;620;1644;3462
Aliperti;PN;APTI4;steel_industry;short_term_loans;467;499;429;784;999;1035;3837;3301;3681;4242;4442;4978;7607;7631;8327;5905;6372;4427;2298
Aliperti;PN;APTI4;steel_industry;long_term_loans;45966;45964;45994;45753;45796;45745;64030;62835;61851;62101;61142;58050;54427;52811;51107;50664;50542;50530;50261
All Norte;ON;FRRN3B;transport_and_services;net_revenue;676059;1404246;2142046;2592546;715301;1559846;2451817;3372467;833750;1769384;2866849;3846093;949639;1938750;3184707;4135513;816905;1844593;2976560
All Norte;ON;FRRN3B;transport_and_services;cogs;517739;1042263;1592326;1954934;429984;904012;1415944;1967867;487346;1037296;1633647;2226773;580100;1166314;1869720;2412436;529143;1133950;1778351
All Norte;ON;FRRN3B;transport_and_services;investment;84893;87667;88109;87727;82877;84071;83161;82343;82335;80600;83935;85508;80784;81318;87688;92529;89765;86717;91198
All Norte;ON;FRRN3B;transport_and_services;ebitda;925631;1046295;1060215;1019837;1134225;1259275;1454510;1767812;1840559;1908727;2020129;2008154;2023155;2031834;2088863;2110444;2046466;2023866;1965563
All Norte;ON;FRRN3B;transport_and_services;net_cash_flow;225436;140770;183424;1222405;20588;58194;172490;310145;160678;118736;406476;161157;157569;234772;560602;256301;467911;223035;937291
All Norte;ON;FRRN3B;transport_and_services;operational_expenses;180;101;6926;16009;7480;36252;32142;39022;14010;26156;42413;71877;40968;63551;95553;122427;12422;64954;82280
All Norte;ON;FRRN3B;transport_and_services;financial_expenses;130444;297717;0;816716;238499;605166;804587;1200793;201403;880323;1361884;1520926;207805;614005;833638;1104204;1648307;3159770;2587413
All Norte;ON;FRRN3B;transport_and_services;financial_revenue;44556;97459;0;323871;65689;242940;274684;449114;69171;468858;838226;1009596;79482;450312;580320;775338;1359530;2792700;2145994
All Norte;ON;FRRN3B;transport_and_services;short_term_loans;857760;457128;587603;577204;705908;430649;511086;679970;621609;837479;741515;494125;396918;309844;228055;483878;866024;1014677;917885
All Norte;ON;FRRN3B;transport_and_services;long_term_loans;1766989;4120187;4043672;4334781;4295744;6860022;6717992;6239740;6440687;7094310;7368925;7514653;7109973;7345349;7787101;7361569;9702366;10515288;10677709
Alliar;ON;AALR3;other;net_revenue;195726;438758;692494;951470;259277;529682;822356;1077876;263142;538706;818168;1076918;261845;534563;810709;1072865;235863;376437;635870
Alliar;ON;AALR3;other;cogs;121658;270649;420940;591019;182804;367328;571948;756580;190404;393303;596892;787538;191778;391678;593626;788049;195150;353934;556715
Alliar;ON;AALR3;other;investment;5264;5008;5246;4694;5536;4861;5706;5364;5470;6727;6376;6625;7106;8318;8838;8951;10063;8010;8800
Alliar;ON;AALR3;other;ebitda;0;0;0;154979;168065;184481;192775;149354;155225;154070;157725;219907;232813;246454;257809;260526;224322;124620;102468
Alliar;ON;AALR3;other;net_cash_flow;8043;24173;26480;22793;39204;18968;13195;18191;3777;24910;6947;53416;22529;41358;34066;40156;36695;9473;19503
Alliar;ON;AALR3;other;operational_expenses;51407;121231;193474;259839;51550;105548;156308;250959;40703;84517;124607;152094;33967;71054;104922;142160;41909;87221;124341
Alliar;ON;AALR3;other;financial_expenses;0;0;151485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alliar;ON;AALR3;other;financial_revenue;0;0;103271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alliar;ON;AALR3;other;short_term_loans;149666;155558;190557;202830;208758;230071;267888;167044;201430;206496;223486;232561;238734;257873;267260;249778;458081;547698;390217
Alliar;ON;AALR3;other;long_term_loans;346536;350154;361744;302817;275330;267424;246075;432208;429906;402713;395152;372950;369528;341653;375048;364991;365476;354035;411885
Alpargatas;PN;ALPA4;textile;net_revenue;1011568;2005662;2988493;4054404;807460;1667045;2618214;3721863;902084;1792667;2646921;3904509;940227;1946970;2955965;3712184;747041;1427558;2261771
Alpargatas;PN;ALPA4;textile;cogs;525341;1079079;1643322;2254120;456248;925453;1462476;2082261;493249;965969;1450123;2191673;513802;1065109;1597607;1845252;386294;713308;1077060
Alpargatas;PN;ALPA4;textile;investment;2793;2712;2634;2206;3062;1142;1658;1320;2245;2316;2342;2322;2326;2315;2309;2294;2438;2475;2500
Alpargatas;PN;ALPA4;textile;ebitda;511727;549275;545276;575964;634857;594460;575400;486239;407115;398525;504681;564674;546974;579677;498709;588303;444607;478517;488333
Alpargatas;PN;ALPA4;textile;net_cash_flow;20637;74743;65838;123810;15346;58252;43104;197357;147770;51943;50197;98295;103254;167990;38436;134161;72915;151734;195073
Alpargatas;PN;ALPA4;textile;operational_expenses;325286;677888;993426;1327941;127337;469172;798190;1260185;264829;644446;827526;1254760;334173;735504;1105386;1437882;410687;676506;1023722
Alpargatas;PN;ALPA4;textile;financial_expenses;50879;114946;156596;196727;31910;67534;97953;129951;34486;107839;151949;209302;64770;98337;177951;94223;52612;115601;169218
Alpargatas;PN;ALPA4;textile;financial_revenue;29406;62308;87293;109665;19488;36764;41866;56329;20336;62395;98156;152839;39806;75743;112062;92666;70812;121450;148693
Alpargatas;PN;ALPA4;textile;short_term_loans;402882;341133;183734;209908;215688;384293;562886;408941;257292;282506;271559;382258;360714;282976;224751;176925;907390;1998602;1377130
Alpargatas;PN;ALPA4;textile;long_term_loans;168970;341302;332858;382766;373194;187542;0;324702;341378;334920;328388;230676;220331;214163;207994;101825;195656;500880;295012
Alper S.A.;ON;APER3;finance_and_securities;net_revenue;37974;74862;103329;132121;23720;49152;69491;93734;20707;42901;65384;87584;22349;44638;66013;91129;25198;47975;75636
Alper S.A.;ON;APER3;finance_and_securities;cogs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alper S.A.;ON;APER3;finance_and_securities;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alper S.A.;ON;APER3;finance_and_securities;ebitda;95726;92460;130628;91373;98106;103718;79671;69535;67846;78456;58483;158349;152136;0;0;7794;0;0;0
Alper S.A.;ON;APER3;finance_and_securities;net_cash_flow;6239;1637;6235;562;3284;4382;4650;2806;3242;2989;2590;7237;219;0;0;0;502;2142;4373
Alper S.A.;ON;APER3;finance_and_securities;operational_expenses;37747;77566;152149;233863;30075;63760;106156;172939;25199;65999;90096;254371;20463;43517;66354;91391;25467;49734;76022
Alper S.A.;ON;APER3;finance_and_securities;financial_expenses;106;254;505;649;94;520;1183;945;95;0;0;344;219;457;636;907;627;674;912
Alper S.A.;ON;APER3;finance_and_securities;financial_revenue;7221;9491;15151;18364;1883;4834;5560;4748;40;861;1387;2285;3057;3793;4372;3745;833;415;1732
Alper S.A.;ON;APER3;finance_and_securities;short_term_loans;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alper S.A.;ON;APER3;finance_and_securities;long_term_loans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alupar;UNT N2;ALUP11;electrical_energy;net_revenue;381600;802256;1190592;1553811;376845;749882;1141981;1538191;365505;879026;1479794;1882909;1145795;1963661;3222687;4592099;1216927;2243903;3735226
Alupar;UNT N2;ALUP11;electrical_energy;cogs;73231;168993;261883;340201;80724;198609;293355;407081;122118;248796;395153;613793;368425;715792;1373464;2125331;604040;1227139;1996800
Alupar;UNT N2;ALUP11;electrical_energy;investment;419239;417679;330617;333288;334362;341922;348764;339460;423684;428303;433121;427815;480121;374033;395900;144784;143332;144271;144603
Alupar;UNT N2;ALUP11;electrical_energy;ebitda;1145973;1215326;1248151;1329537;1324259;1235054;1242143;1170180;1122505;1256621;1413171;1294821;1871375;1912236;2062329;2557747;2332697;2317419;2425210
Alupar;UNT N2;ALUP11;electrical_energy;net_cash_flow;59853;146877;200407;349530;195778;238251;212912;212882;199923;249570;119912;157982;71971;105072;287122;317630;183830;223549;334323
Alupar;UNT N2;ALUP11;electrical_energy;operational_expenses;16544;10217;22813;27838;14113;30280;38407;60388;9660;24533;34839;76047;30680;29139;37255;21995;31087;62831;84543
Alupar;UNT N2;ALUP11;electrical_energy;financial_expenses;130398;254150;394821;513233;133498;247383;324141;423736;84140;172238;269654;364475;78715;163782;257585;349635;110320;194752;299548
Alupar;UNT N2;ALUP11;electrical_energy;financial_revenue;20930;44630;56587;82978;39673;78268;113801;142735;21973;51193;73308;97628;20895;44828;67660;87129;18050;33411;41093
Alupar;UNT N2;ALUP11;electrical_energy;short_term_loans;1165678;1045724;1140838;1184884;1216872;1167147;1194926;1091383;823541;902708;810679;706077;696748;937760;798836;873658;822220;863567;890795
Alupar;UNT N2;ALUP11;electrical_energy;long_term_loans;3560463;3419401;3597565;3382767;3176232;3057122;3198254;3671788;3538688;3396114;3740851;5697193;5683672;5439275;5728731;7674460;7812637;7645151;7885697
Ambev S/A;ON;ABEV3;food_and_beverages;net_revenue;11565098;21942302;32425090;45602561;11241805;21509758;32872061;47899276;11640219;23149764;34213507;50231336;12640126;24785259;36742911;52599709;12602597;24217927;39822425
Ambev S/A;ON;ABEV3;food_and_beverages;cogs;3960316;7854921;12070380;16677959;4523141;8571330;13053452;18041778;4460748;8847981;13218694;19269627;5107701;10069002;15298734;21678159;5643189;11445066;18868215
Ambev S/A;ON;ABEV3;food_and_beverages;investment;384943;380796;387974;300115;294062;306635;253506;237961;243813;263540;264164;257135;256573;252978;303511;303423;339602;335800;340201
Ambev S/A;ON;ABEV3;food_and_beverages;ebitda;22054181;22350009;21352817;20612380;19675373;19409064;19961011;20035781;20338152;20997644;20905210;21013511;21482726;21563331;21516532;20727800;19829504;18376997;18892085
Ambev S/A;ON;ABEV3;food_and_beverages;net_cash_flow;4601564;825993;3723191;6536129;1102800;1690153;3842652;8221812;2757996;5275348;4282770;7633954;1509358;2411813;1905678;7819074;51357;1023507;5815491
Ambev S/A;ON;ABEV3;food_and_beverages;operational_expenses;3203101;6386713;9526588;11824227;3217725;6393375;9664321;13433800;3417686;6887211;10214760;13971252;3478828;7115212;10710917;14868978;3931621;7843166;12448699
Ambev S/A;ON;ABEV3;food_and_beverages;financial_expenses;1493457;2529448;3389909;4597952;996258;1817950;2679013;4268294;919834;2066946;2923315;4562251;959761;1777101;2950104;4748433;1782643;2812984;4327237
Ambev S/A;ON;ABEV3;food_and_beverages;financial_revenue;322152;458260;596088;895947;123663;246533;432664;774398;375541;473585;718874;738815;287693;537596;1404801;1638866;245776;482382;851859
Ambev S/A;ON;ABEV3;food_and_beverages;short_term_loans;1666384;1665114;2517510;3630604;3469544;3590840;1968899;1321122;3278899;3715532;3735559;1560630;2657486;2563965;1719831;653149;780090;4118691;4318163
Ambev S/A;ON;ABEV3;food_and_beverages;long_term_loans;2293456;1968210;1691886;1765706;1663384;1326796;1360712;1231928;1188756;1141463;1245212;862138;2427752;2334348;2370327;2409655;2693360;2664138;2536844
Ampla Energ;ON;CBEE3;electrical_energy;net_revenue;1046604;2022302;3115550;4466988;1195930;2422043;3847054;5338280;1211621;2634626;4038029;5460889;1579697;2956504;4350196;5904286;1557672;2960101;4490071
Ampla Energ;ON;CBEE3;electrical_energy;cogs;870356;1811585;2783683;3959849;1022014;2134990;3451368;4711838;1004234;2191997;3364157;4532888;1352769;2485115;3646739;4931168;1327016;2563593;3922823
Ampla Energ;ON;CBEE3;electrical_energy;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ampla Energ;ON;CBEE3;electrical_energy;ebitda;409057;403769;373295;399777;396072;486303;520428;659959;706895;820808;951079;962340;1049377;1027910;1096230;1088711;1016095;1042638;951354
Ampla Energ;ON;CBEE3;electrical_energy;net_cash_flow;223641;2596;21373;14475;10148;185091;359465;38310;203073;83372;43204;14642;266672;77247;162405;19652;287159;32965;85391
Ampla Energ;ON;CBEE3;electrical_energy;operational_expenses;83047;168333;299680;380023;90249;173917;273300;283881;86089;185881;278484;306488;71232;213074;264216;329818;120523;168809;256008
Ampla Energ;ON;CBEE3;electrical_energy;financial_expenses;224173;480698;664995;886616;273648;472578;704694;920147;211856;539557;1024194;1303382;326767;441626;676648;930697;424296;555621;821091
Ampla Energ;ON;CBEE3;electrical_energy;financial_revenue;108838;253209;343193;443297;74223;114043;204493;429512;130640;375193;751369;951425;190088;258944;488458;709997;347551;403821;505866
Ampla Energ;ON;CBEE3;electrical_energy;short_term_loans;534486;628063;741943;790340;639000;1024718;1264160;1091655;1396576;892444;1125203;1762742;1592929;1408494;1354635;1876718;2389777;1635348;1594322
Ampla Energ;ON;CBEE3;electrical_energy;long_term_loans;2618931;2451852;2369500;2438990;2588332;2372048;2557042;2007575;2197110;2740950;2547987;1848907;2213706;3155695;2738048;2113882;2005039;2936961;3289106
Anima;ON;ANIM3;other;net_revenue;235289;482997;701965;960434;256087;516955;769395;1045674;266846;549225;806839;1102457;282534;567935;861585;1181499;338983;695118;1046063
Anima;ON;ANIM3;other;cogs;121867;281550;434881;611583;131940;299741;457357;646541;140509;325690;498213;707141;134265;310521;478793;671584;149246;325084;497134
Anima;ON;ANIM3;other;investment;0;0;0;0;0;3131;2938;2732;2402;1842;1447;184;0;0;0;0;0;0;49
Anima;ON;ANIM3;other;ebitda;91473;128490;112544;98210;105227;109296;114237;137467;127635;123869;99686;92976;125084;150434;206715;243063;203384;239661;256953
Anima;ON;ANIM3;other;net_cash_flow;19642;1821;92076;8172;13764;11946;91903;12708;3169;89775;9700;31355;1681;0;0;65439;83815;117122;95238
Anima;ON;ANIM3;other;operational_expenses;59458;135037;186737;292762;65531;145501;224551;312960;79527;167677;261372;356660;85154;176496;272284;389945;173389;305288;444969
Anima;ON;ANIM3;other;financial_expenses;43661;94382;135313;137324;34657;60708;64338;76020;13122;34658;57059;75494;36182;71883;109208;153417;0;91029;143482
Anima;ON;ANIM3;other;financial_revenue;42502;79377;111695;100553;25609;37318;33987;38166;8005;19424;35553;40807;11063;13962;21113;27125;0;19205;34924
Anima;ON;ANIM3;other;short_term_loans;138213;101000;97326;124126;117016;121824;52315;52512;56856;63059;75806;80539;97697;88752;226953;128123;120070;111161;123638
Anima;ON;ANIM3;other;long_term_loans;233067;333635;281137;253506;243096;234717;231345;223306;200331;344922;323922;316258;812360;789519;779250;1117576;1104046;1088320;1205647
Arezzo Co;ON;ARZZ3;textile;net_revenue;257547;553299;900240;1239110;297177;626080;996873;1360474;330185;704044;1114448;1526659;377163;770709;1211583;1679235;375471;529914;946377
Arezzo Co;ON;ARZZ3;textile;cogs;145828;309439;504180;689819;167113;341685;542659;736706;183625;378733;598500;815987;204687;413902;654106;903541;203099;277382;507358
Arezzo Co;ON;ARZZ3;textile;investment;0;0;1177;905;2405;2406;2406;2925;3324;3325;3324;3324;3324;3314;3017;3017;3074;3484;4030
Arezzo Co;ON;ARZZ3;textile;ebitda;163728;161736;167934;177141;186831;196159;205698;206265;210992;217230;222524;232161;245982;258419;271235;303424;313139;173298;153410
Arezzo Co;ON;ARZZ3;textile;net_cash_flow;16266;1720;23446;41768;50730;35181;28759;38355;23630;13032;14052;24945;34285;24685;47804;38627;8578;23806;46615
Arezzo Co;ON;ARZZ3;textile;operational_expenses;91648;189312;292116;397965;100706;211459;325061;450135;114224;245211;375786;519393;135789;270999;410412;552592;128354;299682;441713
Arezzo Co;ON;ARZZ3;textile;financial_expenses;7841;18084;20048;29984;5061;10103;15396;24547;5665;40803;54372;61320;11114;19844;38831;42896;52613;74215;77293
Arezzo Co;ON;ARZZ3;textile;financial_revenue;11244;21229;26566;35658;10140;20101;27390;33847;6890;29147;36416;40039;5867;10194;25299;24720;51841;64368;60612
Arezzo Co;ON;ARZZ3;textile;short_term_loans;79799;65642;66424;78970;72385;88311;72946;163729;156354;162002;161180;43978;81827;153533;183678;158222;307081;292424;440509
Arezzo Co;ON;ARZZ3;textile;long_term_loans;34550;31893;29361;27079;24806;22536;20275;18016;15758;13499;11241;67440;92426;22424;5414;22562;308878;308923;106736
Atmasa;ON;ATMP3;other;net_revenue;518082;1035231;1513155;2042605;445568;888280;1307750;1700799;368375;719513;1053721;1360433;275012;500649;698159;862771;245224;450879;680416
Atmasa;ON;ATMP3;other;cogs;508408;989337;1440403;1948171;446789;886521;1317490;1727881;362536;732070;1074186;1392993;262315;525405;749643;1010028;266076;479987;689014
Atmasa;ON;ATMP3;other;investment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Atmasa;ON;ATMP3;other;ebitda;6465;74909;76681;32512;52128;71301;26355;144017;158141;196932;97347;12812;44382;36670;58491;157037;210431;178272;141810
Atmasa;ON;ATMP3;other;net_cash_flow;247712;43270;526838;118339;72540;35059;65418;45081;22113;75709;12291;5960;2358;15496;20985;6529;7840;252;21504
